Name,ROUGE-L,BLEU-4,METEOR,BERTScore,BLEURT,SIDE_true,SIDE_pred
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-0-eval.json/Azure/azure-sdk-for-python,0.13256358883072195,0.019350619062858652,0.27879114168296315,0.5123919039844018,0.48592059109133745,0.24571481429281747,0.7719355975598218
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-0-eval.json/streamlink/streamlink,0.1301265966917297,0.008078072239483454,0.24182896319071923,0.5342708894529858,0.5035781453590136,0.22773472655161814,0.7268629993337232
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-0-eval.json/open-mmlab/mmcv,0.09152385214087054,0.0016499849937354758,0.21369218790353633,0.491879814863205,0.4673801988363266,0.20503506852934758,0.8681298935165008
starcoder2-15b-instruct-v0.1/skeleton-level-mce-eval.json,0.2132699790438981,0.0402593466434607,0.340199337947014,0.5619668561220169,0.5507879266515374,0.47645998092368247,0.9374713641125709
starcoder2-15b-instruct-v0.1/method-level-mce-few-shot-7-eval.json,0.43359682575202496,0.12683291626401283,0.42821965132890183,0.74929793022573,0.6140670092776418,0.47645998092368247,0.3384637523582205
starcoder2-15b-instruct-v0.1/method-level-mce-few-shot-3-eval.json,0.4192109020705299,0.10310169546029985,0.412131791893699,0.7340251715481281,0.5969398822262884,0.47645998092368247,0.44314201654400676
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-6-eval.json/total,0.439139801634179,0.1719036644703771,0.45359416601592456,0.7500475192853889,0.5965280311907787,0.21233642402176672,0.16417675747284227
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-6-eval.json/apache/airflow,0.35820433286062026,0.05324672568192982,0.3542967592482014,0.7144875240325927,0.5377653267453698,0.19128735236385289,0.09206819724510698
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-6-eval.json/Azure/azure-sdk-for-python,0.6302786027023971,0.44762210048613044,0.6607259151404755,0.8269162234748423,0.7228323464330874,0.24571481429281747,0.2856344772193596
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-6-eval.json/streamlink/streamlink,0.31164168939361353,0.023920099356780244,0.32265120950416576,0.7100269883065611,0.5350507648812758,0.22773472655161814,0.19158300052623492
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-6-eval.json/open-mmlab/mmcv,0.38282564614607956,0.05986248293046386,0.4657547430890708,0.7348466416200002,0.5686330517133077,0.20503506852934758,0.14114374636361995
starcoder2-15b-instruct-v0.1/method-level-mce-few-shot-4-eval.json,0.4210813084868866,0.10992970579122367,0.42218374669053094,0.7432419314980507,0.6073384567722678,0.47645998092368247,0.3758489804668352
starcoder2-15b-instruct-v0.1/method-level-mce-few-shot-6-eval.json,0.4338374894224343,0.11614070503385854,0.42170822470828495,0.7450247161835432,0.6021445680782199,0.47645998092368247,0.34456587325781585
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-7-eval.json/total,0.4511542613049855,0.18178688084126035,0.4570467300878894,0.7582156537262441,0.5971452913457348,0.21233642402176672,0.15689965248542373
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-7-eval.json/apache/airflow,0.3574853124290863,0.049588220205209844,0.3466064661075503,0.7151621805219089,0.5306180263266844,0.19128735236385289,0.07975243916844621
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-7-eval.json/Azure/azure-sdk-for-python,0.6536743608814373,0.4733494691825959,0.6761455112708318,0.8422300398108448,0.7293640712977421,0.24571481429281747,0.2699489541170809
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-7-eval.json/streamlink/streamlink,0.32993392609033956,0.03224664057786294,0.3438185693907171,0.7271098204561182,0.5466176486901335,0.22773472655161814,0.21767062915338053
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-7-eval.json/open-mmlab/mmcv,0.43043998601760136,0.10236103466631051,0.47702334893869824,0.7556823939085007,0.5863968670368195,0.20503506852934758,0.16302191720654566
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-1-eval.json/total,0.1417158074325922,0.013788375577423134,0.26347472295855295,0.5344327082926819,0.48685910188530573,0.21233642402176672,0.7596751133363611
starcoder2-15b-instruct-v0.1/method-level-mcsn-few-shot-1-eval.json/apache/airflow,0.13252014298234938,0.0054059581774091375,0.23636385257701373,0.5269409991713131,0.4806245017051697,0.19128735236385289,0.7670897912453203
